latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,date,,,,,,,,,
0.080156446,0.1253765,0,0,0,0,0.039872862,0.17626378,0.097158365,0.04284272,0,0.10976554,0,0.09433006,0,0.10298109,0.011397613,0,0.021626253,0.051216125,2014-02-17,,,latent_dim,dropout_rate,batchnorm,epochs,early_stopping_patience,batch_size,kernel_regularizer
0.085605554,0.13025428,0,0,0,0,0.040261224,0.17523491,0.09933681,0.042596176,0,0.11193607,0,0.09505588,0,0.105132386,0.008583568,0,0.022192646,0.05151069,2014-02-18,,,20,0.2,TRUE,50,5,32,FALSE
0.0837401,0.1277866,0,0,0,0,0.0457196,0.17239189,0.092038244,0.044036157,0,0.110192984,0,0.09655091,0,0.105708554,0.008844554,0,0.018432006,0.048449684,2014-02-19,,,,,,,,,
0.08394795,0.12586507,0,0,0,0,0.045399297,0.16898626,0.08966074,0.045664668,0,0.10800831,0,0.098092295,0,0.1065267,0.00835254,0,0.016326047,0.047605906,2014-02-20,,,,,,,,,
0.08204894,0.124723725,0,0,0,0,0.039586235,0.17086382,0.08620703,0.04790419,0,0.10471385,0,0.10314455,0,0.10504942,0.003436763,0,0.018273715,0.046465717,2014-02-21,,,,,,,,,
0.07218235,0.1196396,0,0,0,0,0.038791034,0.16584395,0.075203925,0.050926853,0,0.09670584,0,0.10987276,0,0.10333346,0.001651276,0,0.012514409,0.045416288,2014-02-24,,,,,,,,,
0.07658941,0.12024116,0,0,0,0,0.04081749,0.16492254,0.073144965,0.050537206,0,0.09674757,0,0.10852606,0,0.1055468,0.001178352,0,0.011778556,0.04863134,2014-02-25,,,,,,,,,
0.08433839,0.12585314,0,0,0,0,0.043775644,0.16682254,0.07911017,0.047853366,0,0.10139095,0,0.10357545,0,0.10899214,0.001541957,0,0.014366355,0.05345326,2014-02-26,,,,,,,,,
0.08717566,0.12949257,0,0,0,0,0.039949484,0.170159,0.08438167,0.046473347,0,0.1037448,0,0.10515648,0,0.10907139,0.000872577,0,0.014795695,0.05400105,2014-02-27,,,,,,,,,
0.093444146,0.1330879,0,0,0,0,0.042486493,0.17074417,0.09000863,0.043845385,0,0.108666636,0,0.10203324,0,0.11099882,0.003511777,0,0.01667028,0.056580618,2014-02-28,,,,,,,,,
0.089890584,0.1319454,0,0,0,0,0.043582894,0.17022409,0.08719219,0.04677329,0,0.10713157,0,0.10504193,0,0.110856555,0.004058579,0,0.01653798,0.056971893,2014-03-03,,,,,,,,,
0.08623184,0.13304208,0,0,0,0,0.043664858,0.16871943,0.08619612,0.04665989,0,0.104873486,0,0.10686649,0,0.10879054,0.00469706,0,0.01472123,0.0549475,2014-03-04,,,,,,,,,
0.08118471,0.12886775,0,0,0,0,0.047365885,0.16712238,0.078678384,0.048104133,0,0.09895461,0,0.11066928,0,0.10722711,0.005321704,0,0.01551263,0.049993932,2014-03-05,,,,,,,,,
0.08339058,0.1324257,0,0,0,0,0.052232865,0.16430199,0.08265128,0.04563007,0,0.101070024,0,0.105474114,0,0.108762756,0.00878715,0,0.01660557,0.051967934,2014-03-06,,,,,,,,,
0.08574366,0.13223082,0,0,0,0,0.05500826,0.15971246,0.08114204,0.045975596,0,0.1009389,0,0.108352564,0,0.1096818,0.010894788,0,0.018930387,0.05231394,2014-03-07,,,,,,,,,
0.085923135,0.13026908,0,0,0,0,0.060404718,0.15744331,0.07764653,0.04752511,0,0.10056779,0,0.10981723,0,0.110926844,0.009344255,0,0.022754494,0.051933907,2014-03-10,,,,,,,,,
0.07189564,0.12818108,0,0,0,0,0.061717875,0.16555399,0.07111421,0.0486981,0,0.09582474,0,0.11455274,0,0.10837006,0.00903808,0,0.020861838,0.049522534,2014-03-11,,,,,,,,,
0.06992941,0.12717482,0,0,0,0,0.062983215,0.16639869,0.06755999,0.047924634,0,0.09433716,0,0.11378065,0,0.10864185,0.00853329,0,0.019870896,0.049322657,2014-03-12,,,,,,,,,
0.06345074,0.12905708,0,0,0,0,0.05638977,0.17261274,0.066497095,0.04444485,0,0.093572475,0,0.1157313,0,0.103247754,0.007346103,0,0.016370501,0.04501848,2014-03-13,,,,,,,,,
0.06670374,0.12515467,0,0,0,0,0.057076108,0.16575307,0.05966299,0.04436544,0,0.09229642,0,0.11866587,0,0.10130194,0.007292558,0,0.015049711,0.04104452,2014-03-14,,,,,,,,,
0.06540468,0.12128759,0,0,0,0,0.04834624,0.1671743,0.061253812,0.04672211,0,0.08869129,0,0.122944705,0,0.10047737,0.00549751,0,0.014679696,0.037582673,2014-03-17,,,,,,,,,
0.07099529,0.121992856,0,0,0,0,0.047444563,0.16674227,0.06069205,0.04545858,0,0.08952895,0,0.12103057,0,0.10063761,0.003622325,0,0.019207023,0.035736147,2014-03-18,,,,,,,,,
0.076736756,0.11938894,0,0,0,0,0.05260816,0.163571,0.06008477,0.045183506,0,0.091890745,0,0.117793895,0,0.102404915,0.005136646,0,0.021823704,0.037180897,2014-03-19,,,,,,,,,
0.075762615,0.12029863,0,0,0,0,0.051696733,0.16639607,0.05940435,0.04694092,0,0.09048503,0,0.118718624,0,0.102459975,0.003266458,0,0.023691142,0.03720432,2014-03-20,,,,,,,,,
0.07880853,0.117922194,0,0,0,0,0.052151587,0.16546607,0.056481343,0.047987655,0,0.08792237,0,0.12125839,0,0.103848286,0.002156452,0,0.026546871,0.03771148,2014-03-21,,,,,,,,,
0.07640827,0.119791016,0,0,0,0,0.053614184,0.16575044,0.05742183,0.047232512,0,0.08854004,0,0.117313534,0,0.10278629,0.003632,0,0.018719822,0.03542973,2014-03-24,,,,,,,,,
0.07995827,0.12526868,0,0,0,0,0.058505114,0.16191661,0.06762243,0.042882204,0,0.09603662,0,0.10480468,0,0.10320409,0.011962028,0,0.009192869,0.038231105,2014-03-25,,,,,,,,,
0.08171789,0.12662016,0,0,0,0,0.058130298,0.1628347,0.072401084,0.044770375,0,0.09675152,0,0.10139983,0,0.106142774,0.012291275,0,0.009997524,0.04138086,2014-03-26,,,,,,,,,
0.08298883,0.12796645,0,0,0,0,0.06471194,0.16165857,0.072513916,0.04424627,0,0.100842774,0,0.09810591,0,0.106592976,0.015270372,0,0.011363648,0.043337815,2014-03-27,,,,,,,,,
0.08070121,0.12941661,0,0,0,0,0.06523082,0.16282754,0.074216776,0.045595963,0,0.10068239,0,0.097786896,0,0.10793505,0.014547701,0,0.010611154,0.04557001,2014-03-28,,,,,,,,,
0.07561964,0.12392464,0,0,0,0,0.06408887,0.15997064,0.06927456,0.047627565,0,0.09678213,0,0.10411023,0,0.106836796,0.012850642,0,0.009048637,0.04363384,2014-03-31,,,,,,,,,
0.07631569,0.119585186,0,0,0,0,0.060954608,0.158181,0.06775771,0.04797148,0,0.09471953,0,0.10597432,0,0.10692151,0.012916585,0,0.010353114,0.044569172,2014-04-01,,,,,,,,,
0.08027334,0.12475923,0,0,0,0,0.05771788,0.15968183,0.07470141,0.044911586,0,0.09602312,0,0.104528494,0,0.10780602,0.014422253,0,0.00916294,0.047284536,2014-04-02,,,,,,,,,
0.08044183,0.12664334,0,0,0,0,0.055929102,0.16166368,0.079869136,0.04417525,0,0.09483052,0,0.103907466,0,0.1089181,0.015817065,0,0.006465044,0.04798542,2014-04-03,,,,,,,,,
0.079125345,0.12967366,0,0,0,0,0.045155387,0.16670309,0.08437449,0.04685245,0,0.089583874,0,0.112519145,0,0.109104745,0.013614178,0,0.009200603,0.046429433,2014-04-04,,,,,,,,,
0.06565346,0.1241217,0,0,0,0,0.048374973,0.16168536,0.07562608,0.048226446,0,0.08668457,0,0.120718054,0,0.10557316,0.013681388,0,0.009488814,0.04319578,2014-04-07,,,,,,,,,
0.06190148,0.11978352,0,0,0,0,0.04497906,0.16471387,0.07229617,0.04922388,0,0.08034632,0,0.12229009,0.000366608,0.10500214,0.01393603,0,0.007220987,0.039830804,2014-04-08,,,,,,,,,
0.06511197,0.12115968,0,0,0,0,0.041558016,0.17018625,0.07606038,0.047988866,0,0.079236194,0,0.12114542,0,0.106843375,0.012799347,0,0.00981677,0.040953547,2014-04-09,,,,,,,,,
