,RandomForest,XGBoost,LightGBM,LogisticRegression,GradientBoosting
청약경쟁률,0.15021314713031095,0.22272074,0.11857086768747546,0.0,0.30573556684332026
의무보유확약비율,0.11135187227985047,0.10132824,0.10404397330192383,0.0,0.14863685222118797
단순 기관경쟁률,0.07553222410672426,0.0439799,0.06713780918727916,0.0,0.03227258990214671
PPI (%),0.07252376139972601,0.055031236,0.031409501374165684,0.0,0.0611546511391714
(확정)공모가격,0.0653346030582649,0.09879684,0.06870828425598743,0.0,0.12912152362651577
EPS 변화율,0.05446192444380651,0.039218783,0.0624263839811543,0.0,0.03670389380777832
보호예수 비율,0.05125443375492508,0.043621637,0.06399685904986259,0.0,0.06614778715556588
유동비율 변화율,0.04845518560262121,0.038694583,0.05732234000785238,0.0,0.033551355498523304
부채비율 변화율,0.04287964352931362,0.041613102,0.0475068708284256,0.0,0.011108585380459729
영업이익률 변화율,0.042302795622137755,0.031216383,0.04436592069100903,0.0,0.015257858854402903
매출액 변화율,0.04145396566405915,0.044044565,0.05221829603455045,58338849062965.2,0.03432208291659611
최대주주 소유주 비율,0.04119326596378897,0.03871591,0.0569297212406753,0.0,0.019105743999722903
ROE 변화율,0.04118703253074897,0.038685683,0.05143305850019631,0.0,0.02737361495699264
EV/영업이익 변화율,0.03956862725376173,0.02342326,0.05182567726737338,0.0,0.018807603662639203
공모후 발행주식수,0.03827827155803392,0.043082416,0.0447585394581861,-58338849062964.2,0.017036392779193908
당기순이익률 변화율,0.036906404679580194,0.0305196,0.040832351786415394,0.0,0.018570081105029793
DLR,0.02744849465770524,0.04522836,0.024734982332155476,0.0,0.01707358980940652
최대주주 보호예수 기간,0.019654346764641017,0.020078808,0.011778563015312132,0.0,0.008020226341346607
