,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.05418002925963817,0.02925114,103,0.03338478685565505,0.0
의무보유확약비율,0.08945194061488089,0.06272778,201,0.10446442150887503,0.0
(확정)공모가격,0.04629565997623475,0.057161424,133,0.11703462803760033,0.0
청약경쟁률,0.1216250259359377,0.14026085,174,0.20439754500519303,0.0
공모후 발행주식수,0.02093521646279798,0.019790448,78,0.021290058866784714,0.00838709677419348
최대주주 소유주 비율,0.02302884534462381,0.019044042,92,0.03565513288326288,0.0
최대주주 보호예수 기간,0.01059114081274715,0.0092425225,22,0.008613959592687301,0.0
보호예수 비율,0.031640621470904205,0.018042356,110,0.02756670982298785,0.0
총부채,0.023870034850415698,0.01814873,31,0.01383411296229061,0.0
자본금,0.02415380696783741,0.020164639,65,0.0166187686210707,0.005806451612903163
영업이익,0.027282778450780764,0.026289418,59,0.029458005925917085,0.01870967741935481
부채비율,0.01707022079810373,0.013229423,65,0.010012665001876003,0.0
유동비율,0.020471048224698276,0.026452448,44,0.022776596617731522,0.0
당기순이익률,0.020039826748226425,0.022514148,45,0.004704006621232255,0.0
ROE,0.01785616746611786,0.027417095,74,0.02443476349829883,0.0
EPS,0.02499172148961672,0.022187376,55,0.010594034775311574,0.0
EV/영업이익,0.018345604099037998,0.022799503,67,0.005151191888990391,0.0
부채비율 변화율,0.01878833389603384,0.031596497,97,0.013674266839938205,0.0
유동비율 변화율,0.019275416566386618,0.026648298,92,0.013381143125994368,0.0
영업이익률 변화율,0.0188410590585099,0.028434543,48,0.009577694235065165,0.0
당기순이익률 변화율,0.016183451445378066,0.026331091,26,0.005565331173587371,0.0
매출액 변화율,0.018483763917482337,0.016981823,49,0.0038979131179069063,-0.006451612903225823
ROE 변화율,0.021456641746230142,0.016682632,81,0.02955493922376331,0.0
EPS 변화율,0.032416324227299516,0.025379019,69,0.0358205917403453,0.0
EV/영업이익 변화율,0.01660093182369114,0.011616703,62,0.008700669428542071,0.0
DLR,0.015317538272996218,0.030062634,32,0.019663891265736515,0.0
PPI (%),0.04977949938055266,0.032820445,79,0.011266154614953217,0.0
기업경기실사지수(BSI),0.014171424441974438,0.018395728,30,0.011957163164884014,0.0
생산자물가 상승률 (PPI),0.022954556528668933,0.021999525,54,0.019984201259786928,0.0
소비심리지수(CSI),0.018934137520457545,0.014401419,45,0.02226109404359522,0.0
소비자물가 상승률 (CPI),0.019213498689945752,0.010517431,37,0.005109964839454362,0.0
수출입 물량지수,0.018618338154961292,0.042375956,75,0.03675244481862106,0.0
외환보유액,0.016309182856726355,0.019382492,59,0.0111420845828638,0.0
원달러 환율,0.0204503768344011,0.018558683,49,0.00443407300636509,0.0
통화량 (M2),0.016656347237112065,0.022917124,58,0.013687255109638568,0.0
기준금리,0.00974584611469633,0.0,6,9.436689128787846e-05,0.0
국고채 금리 스프레드,0.02397364231389623,0.030174721,66,0.033483369031905456,0.0
