,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.08693368255217473,0.07097319,422,0.0641982927937223,0.0
의무보유확약비율,0.10759098256566942,0.086012915,574,0.13887571502117574,0.0
(확정)공모가격,0.06821007307121081,0.065825984,371,0.11983448851955825,0.0
청약경쟁률,0.14754970817498966,0.14262038,510,0.22680271763627327,0.0
공모후 발행주식수,0.03498156121671005,0.039605506,269,0.016126528091431256,0.0
최대주주 소유주 비율,0.045693004402747595,0.030804895,412,0.0698709504334971,0.0
최대주주 보호예수 기간,0.019546738183308904,0.038555656,76,0.011436089674574337,0.0
보호예수 비율,0.05310319422942208,0.051119987,346,0.02342499917610143,0.0
총부채,0.04197619735646808,0.03021771,187,0.028237217162206417,0.0
자본금,0.04465284590502462,0.032429196,238,0.04138528704303792,0.0
영업이익,0.05428119798988005,0.03938804,243,0.07233884686155592,0.0012903225806451645
매출액,0.039971945826213516,0.051199842,266,0.01065166683039006,0.0
기업경기실사지수(BSI),0.026616027032763643,0.033096015,84,0.015495855865240453,0.0
소비심리지수(CSI),0.02975518753646714,0.03162081,262,0.01810409730308771,0.0
수출입 물량지수,0.033109478522846306,0.040458217,254,0.03934382433389163,0.0
외환보유액,0.034361625200942034,0.04556462,211,0.023483615608962994,0.0
원달러 환율,0.04257626046095333,0.041713692,174,0.013861909469143237,0.0
통화량 (M2),0.041119682998776885,0.052660793,102,0.018486904147701093,0.0
기준금리,0.015840098504271222,0.036016304,82,0.00641283351824438,0.0
국고채 금리 스프레드,0.03213050826916002,0.040116195,150,0.04162816051020445,0.0
