,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.079,0.062,0.066,0.081,0.0
의무보유확약비율,0.119,0.078,0.096,0.115,0.0
(확정)공모가격,0.067,0.058,0.076,0.082,0.0
청약경쟁률,0.136,0.146,0.109,0.226,0.0
공모후 발행주식수,0.038,0.031,0.034,0.044,0.007
최대주주 소유주 비율,0.042,0.034,0.053,0.018,0.0
최대주주 보호예수 기간,0.019,0.031,0.013,0.046,0.0
보호예수 비율,0.049,0.035,0.064,0.034,0.0
총부채,0.042,0.031,0.034,0.042,0.0
자본금,0.041,0.035,0.053,0.039,0.006
영업이익,0.048,0.038,0.053,0.032,0.021
매출액,0.04,0.042,0.041,0.004,-0.006
기업경기실사지수(BSI),0.025,0.031,0.023,0.035,0.0
생산자물가 상승률 (PPI),0.028,0.033,0.039,0.032,0.0
소비심리지수(CSI),0.03,0.038,0.039,0.018,0.0
소비자물가 상승률 (CPI),0.028,0.031,0.038,0.028,0.0
수출입 물량지수,0.033,0.046,0.045,0.039,0.0
외환보유액,0.03,0.037,0.032,0.012,0.0
원달러 환율,0.031,0.037,0.029,0.009,0.0
통화량 (M2),0.027,0.031,0.034,0.003,0.0
기준금리,0.009,0.045,0.003,0.0,0.0
국고채 금리 스프레드,0.04,0.049,0.024,0.061,0.0
