,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.05782633847661138,0.039504413,313,0.03928673369954169,0.0
의무보유확약비율,0.07888002054335155,0.054621473,529,0.10018522635686138,0.0
(확정)공모가격,0.03961816033230239,0.04680065,251,0.07176734935400834,0.0
청약경쟁률,0.11545202709967332,0.10064261,624,0.17030507047622742,0.0
공모후 발행주식수,0.02337715647323202,0.024678884,182,0.020047729371185048,0.0
최대주주 소유주 비율,0.029900943059781665,0.02350862,250,0.029185628212808748,0.0
최대주주 보호예수 기간,0.013221009597280649,0.025863947,48,0.008565415707908511,0.0
보호예수 비율,0.044478402127472984,0.031220648,378,0.03769322173790238,0.0
총부채,0.025851992814587693,0.023774909,141,0.015774071626056537,0.0
자본금,0.028713369733148558,0.02533935,206,0.0223605548695711,0.0
영업이익,0.030056091227703762,0.030252172,132,0.03356608834017228,-0.0019354838709677135
매출액,0.022513468717335873,0.025968852,130,0.01672838830220209,-0.00064516129032256
부채비율,0.019788021221885214,0.020874092,218,0.014443300938557517,0.0
유동비율,0.02377348395669557,0.024266709,195,0.025956445941098492,0.0
영업이익률,0.019313751200763164,0.022302926,108,0.01764222894540563,0.0
당기순이익률,0.021996121544993943,0.026379,163,0.01123035940411635,0.0
ROE,0.02619093485618277,0.027377186,239,0.032722323002116735,0.0
EPS,0.025961690930125136,0.025737112,126,0.00960296501015569,0.0
EV/영업이익,0.027626463883996498,0.023135403,240,0.023069157731648752,0.0
기업경기실사지수(BSI),0.016304352250265372,0.020910967,65,0.006907092213356444,0.0
소비심리지수(CSI),0.018323755394285716,0.025758464,140,0.015631618186318665,0.0
수출입 물량지수,0.02153496674824859,0.033199508,209,0.022822373568801242,0.0
외환보유액,0.0260630153042377,0.031607177,149,0.010268126725271403,0.0
원달러 환율,0.02384216853680236,0.03376975,155,0.029208747688476765,0.0
통화량 (M2),0.029131839749750175,0.029993098,53,0.0065296018399506875,0.0
기준금리,0.010938762998575435,0.035507947,38,0.004585327445738601,0.0
국고채 금리 스프레드,0.027464131134549204,0.027125731,140,0.02686192563698016,0.0
KOSPI_1001,0.031126032803007683,0.030204203,281,0.029828820826858372,0.0
산업코스피,0.022961305025376105,0.025717147,220,0.020052556365459596,0.0
대표매매감정점수,0.04443216450609657,0.0354223,319,0.07138144371218219,0.0
호황,0.02724389105617154,0.024564322,203,0.027865120347721192,0.0
불황,0.0260941666955094,0.023970393,319,0.027924986415339963,0.0
