,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.08236474360890103,0.06443635,547,0.05883575663671139,0.0
의무보유확약비율,0.10409484486706695,0.06743212,797,0.12202805139093187,0.0
(확정)공모가격,0.06464717520407487,0.09193359,486,0.0997605816032933,0.0
청약경쟁률,0.12924499931302788,0.13273051,705,0.16322153496936923,0.0
공모후 발행주식수,0.03917761148432986,0.03759425,524,0.023929540310093905,0.014838709677419393
최대주주 소유주 비율,0.047430360179027006,0.037486516,601,0.034260392753573767,0.0
최대주주 보호예수 기간,0.021523026366934733,0.042772267,140,0.026384969015352762,0.0
보호예수 비율,0.0679834957704719,0.045497734,657,0.05460505339913666,0.0
총부채,0.040332077627265255,0.045113828,320,0.023525025702954575,0.0
자본금,0.04228997832624629,0.044652786,438,0.039873193866577776,0.005161290322580681
영업이익,0.04607024756768762,0.060705036,312,0.06180502034534565,0.03161290322580651
매출액,0.03934317042828651,0.03481771,354,0.045844321742662654,0.03225806451612908
부채비율,0.03743976452320577,0.033843596,474,0.019729662323833722,0.0
유동비율,0.04016647918251251,0.053940788,415,0.06327476515081906,0.0
영업이익률,0.0367351840304545,0.047055505,277,0.028361868279072455,0.0
당기순이익률,0.03295066695861402,0.038491264,341,0.021811077021866968,0.0
ROE,0.03902091174306454,0.042196464,512,0.036362976464584605,0.0
EPS,0.041542061498258676,0.034303073,307,0.027163163997215432,0.0
EV/영업이익,0.047643201320569976,0.044996534,464,0.0492230450266043,0.0
