,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.063,0.08,0.052,0.062,0.0
의무보유확약비율,0.097,0.062,0.086,0.106,0.0
(확정)공모가격,0.052,0.033,0.052,0.083,0.0
청약경쟁률,0.114,0.072,0.082,0.151,0.0
공모후 발행주식수,0.029,0.024,0.028,0.019,0.014
최대주주 소유주 비율,0.031,0.038,0.054,0.029,0.0
최대주주 보호예수 기간,0.013,0.032,0.008,0.015,0.0
보호예수 비율,0.051,0.031,0.056,0.022,0.0
총부채,0.032,0.044,0.024,0.014,0.0
자본금,0.032,0.03,0.036,0.038,0.005
영업이익,0.032,0.04,0.022,0.033,0.031
부채비율,0.024,0.019,0.036,0.01,0.0
유동비율,0.026,0.034,0.024,0.032,0.0
당기순이익률,0.024,0.036,0.031,0.024,0.0
ROE,0.028,0.034,0.033,0.028,0.0
EPS,0.028,0.032,0.019,0.014,0.0
EV/영업이익,0.03,0.035,0.034,0.022,0.0
부채비율 변화율,0.029,0.035,0.047,0.042,0.0
유동비율 변화율,0.03,0.031,0.04,0.044,0.0
영업이익률 변화율,0.026,0.023,0.033,0.024,0.0
당기순이익률 변화율,0.027,0.025,0.027,0.018,0.0
매출액 변화율,0.028,0.022,0.021,0.023,0.032
ROE 변화율,0.028,0.026,0.035,0.021,0.0
EPS 변화율,0.036,0.053,0.032,0.04,0.0
EV/영업이익 변화율,0.025,0.032,0.04,0.033,0.0
DLR,0.021,0.039,0.02,0.024,0.0
PPI (%),0.04,0.041,0.029,0.029,0.0
