,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.071,0.055,0.059,0.066,0.0
의무보유확약비율,0.099,0.068,0.115,0.124,0.0
(확정)공모가격,0.063,0.055,0.063,0.082,0.0
청약경쟁률,0.118,0.118,0.123,0.178,0.0
공모후 발행주식수,0.039,0.033,0.026,0.027,0.015
최대주주 소유주 비율,0.048,0.037,0.059,0.029,0.0
최대주주 보호예수 기간,0.023,0.04,0.011,0.031,0.0
보호예수 비율,0.059,0.04,0.069,0.068,0.0
총부채,0.041,0.034,0.035,0.03,0.0
자본금,0.046,0.036,0.042,0.044,0.005
영업이익,0.046,0.043,0.04,0.04,0.032
매출액,0.043,0.037,0.028,0.03,0.032
기업경기실사지수(BSI),0.029,0.038,0.024,0.028,0.0
생산자물가 상승률 (PPI),0.035,0.04,0.041,0.026,0.0
소비심리지수(CSI),0.031,0.04,0.032,0.026,0.0
소비자물가 상승률 (CPI),0.029,0.036,0.037,0.025,0.0
수출입 물량지수,0.035,0.044,0.042,0.038,0.0
외환보유액,0.033,0.04,0.051,0.028,0.0
원달러 환율,0.033,0.037,0.048,0.028,0.0
통화량 (M2),0.029,0.034,0.023,0.008,0.0
기준금리,0.013,0.047,0.004,0.012,0.0
국고채 금리 스프레드,0.037,0.048,0.03,0.029,0.0
