,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.045184794664359255,0.027636748,112,0.021417166108741073,0.0
의무보유확약비율,0.08116511610640069,0.03968109,202,0.09280995213255112,0.0
(확정)공모가격,0.037855908468035875,0.03195705,169,0.048031302272286934,0.0
청약경쟁률,0.1164414419882514,0.10445195,229,0.22916868708524912,0.0
공모후 발행주식수,0.018184668046001537,0.021295466,104,0.015404853340921587,-0.012903225806451635
최대주주 소유주 비율,0.02096883851622575,0.020504357,98,0.025042972007802443,0.0
최대주주 보호예수 기간,0.006952253359762245,0.027980175,18,0.000742290756889554,0.0
보호예수 비율,0.038414593420087594,0.033146087,173,0.028516987919631184,0.0
총부채,0.019319325325970645,0.017515033,69,0.01806347063501502,0.012903225806451623
자본금,0.018887781328896194,0.020089436,55,0.00772741058454381,0.007096774193548405
영업이익,0.025737496462746746,0.030577568,65,0.03621416834015368,0.06129032258064515
부채비율,0.016699135152527838,0.011933927,59,0.014614399086630356,0.0
유동비율,0.01836280523776228,0.021879666,70,0.0060771885880716225,0.0
당기순이익률,0.021511713964702677,0.015503571,68,0.018004213328013583,0.0
ROE,0.01843570650123182,0.016412994,67,0.0026807423904703534,0.0
EPS,0.021612402519570785,0.023630971,48,0.02407884094856669,0.0
EV/영업이익,0.016700220107401416,0.008996198,59,0.023350183922429713,0.0
부채비율 변화율,0.016036834930720025,0.02753878,88,0.030108135599168803,0.0
유동비율 변화율,0.018324807509862772,0.017485432,105,0.012562662989303384,0.0
영업이익률 변화율,0.02101398694572534,0.0203386,101,0.008367518964196513,0.0
당기순이익률 변화율,0.01903305386539421,0.021522567,60,0.031518459911076296,0.0
매출액 변화율,0.016652823227914282,0.01586248,82,0.004253973636625005,-0.034193548387096775
ROE 변화율,0.017851061837696608,0.013553878,100,0.010849242981991681,0.0
EPS 변화율,0.021822883588284533,0.025517015,98,0.01886582343698844,0.0
EV/영업이익 변화율,0.01678894819013042,0.01841485,70,0.0034751361999004696,0.0
DLR,0.01302315439409353,0.012360669,28,0.00975415590241809,0.0
PPI (%),0.04497661735461027,0.052723736,40,0.02229641446676084,0.0
기업경기실사지수(BSI),0.01204559554536666,0.030804973,25,0.014770807436613098,0.0
소비심리지수(CSI),0.016171207127205153,0.018452348,72,0.02047803338681799,0.0
외환보유액,0.023509659547199156,0.022897787,69,0.02519345172820724,-0.0006451612903225878
원달러 환율,0.01691986073494229,0.029925799,71,0.012206161557368152,0.0
통화량 (M2),0.022424084712890934,0.016918913,23,0.007574134409497953,0.005806451612903213
기준금리,0.010230739416797757,0.009965249,10,0.0019899504393775785,0.0
국고채 금리 스프레드,0.017079426716059432,0.024622506,32,0.005984289353755234,0.0
무역수지,0.016877279627803637,0.024618922,70,0.01712865024799319,0.0
KOSPI_1001,0.02332135690582561,0.02434221,94,0.01817377458219055,0.0
산업코스피,0.019662172368221154,0.023346795,81,0.037013198540666765,0.0
대표매매감정점수,0.037519585032136045,0.034376375,166,0.049325475613491813,0.0
호황,0.018329304135511797,0.018911216,107,0.019568273694475335,0.0
불황,0.017951355115673657,0.022306627,70,0.006597445473147774,0.0
