,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.0808653790939789,0.06784088,261,0.02710355717613432,0.0
의무보유확약비율,0.13845279183886416,0.11793712,384,0.1373560531332596,0.0
(확정)공모가격,0.0778172477278486,0.075426765,393,0.10214157536836065,0.0
청약경쟁률,0.1753412222142353,0.14997059,467,0.2877355084456893,0.0
공모후 발행주식수,0.03950986000757829,0.04438359,340,0.04158890330997023,-0.014838709677419366
최대주주 소유주 비율,0.04892730701142784,0.040901158,327,0.042749740464777385,0.0
최대주주 보호예수 기간,0.01623691703081812,0.039456006,50,0.005565816378309883,0.0
부채비율 변화율,0.0422623525370447,0.04657675,296,0.05728958389590267,0.0
유동비율 변화율,0.04245019076011498,0.036784112,308,0.030473729979218833,0.0
영업이익률 변화율,0.044905320505545285,0.050551884,290,0.048298804903357244,0.0
당기순이익률 변화율,0.04185027208353503,0.041423712,261,0.03907851141365828,0.0
매출액 변화율,0.03853301762578289,0.039808493,259,0.013807886921033167,-0.005161290322580658
ROE 변화율,0.03823668457459366,0.03870663,272,0.03448218073624461,0.0
EPS 변화율,0.04595038828276561,0.04351432,247,0.05145800256113248,0.0
EV/영업이익 변화율,0.03803293223352102,0.043267883,267,0.021897766300956734,0.0
DLR,0.02751814367641769,0.04846527,128,0.015083701713890505,0.0
PPI (%),0.06310997279592787,0.07498488,143,0.043888677298104015,0.0
