,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.045,0.028,0.034,0.021,0.0
의무보유확약비율,0.081,0.04,0.061,0.093,0.0
(확정)공모가격,0.038,0.032,0.051,0.048,0.0
청약경쟁률,0.116,0.104,0.069,0.229,0.0
공모후 발행주식수,0.018,0.021,0.031,0.015,-0.013
최대주주 소유주 비율,0.021,0.021,0.029,0.025,0.0
최대주주 보호예수 기간,0.007,0.028,0.005,0.001,0.0
보호예수 비율,0.038,0.033,0.052,0.029,0.0
총부채,0.019,0.018,0.021,0.018,0.013
자본금,0.019,0.02,0.017,0.008,0.007
영업이익,0.026,0.031,0.02,0.036,0.061
부채비율,0.017,0.012,0.018,0.015,0.0
유동비율,0.018,0.022,0.021,0.006,0.0
당기순이익률,0.022,0.016,0.02,0.018,0.0
ROE,0.018,0.016,0.02,0.003,0.0
EPS,0.022,0.024,0.014,0.024,0.0
EV/영업이익,0.017,0.009,0.018,0.023,0.0
부채비율 변화율,0.016,0.028,0.026,0.03,0.0
유동비율 변화율,0.018,0.017,0.032,0.013,0.0
영업이익률 변화율,0.021,0.02,0.03,0.008,0.0
당기순이익률 변화율,0.019,0.022,0.018,0.032,0.0
매출액 변화율,0.017,0.016,0.025,0.004,-0.034
ROE 변화율,0.018,0.014,0.03,0.011,0.0
EPS 변화율,0.022,0.026,0.029,0.019,0.0
EV/영업이익 변화율,0.017,0.018,0.021,0.003,0.0
DLR,0.013,0.012,0.008,0.01,0.0
PPI (%),0.045,0.053,0.012,0.022,0.0
기업경기실사지수(BSI),0.012,0.031,0.008,0.015,0.0
소비심리지수(CSI),0.016,0.018,0.022,0.02,0.0
외환보유액,0.024,0.023,0.021,0.025,-0.001
원달러 환율,0.017,0.03,0.021,0.012,0.0
통화량 (M2),0.022,0.017,0.007,0.008,0.006
기준금리,0.01,0.01,0.003,0.002,0.0
국고채 금리 스프레드,0.017,0.025,0.01,0.006,0.0
무역수지,0.017,0.025,0.021,0.017,0.0
KOSPI_1001,0.023,0.024,0.028,0.018,0.0
산업코스피,0.02,0.023,0.024,0.037,0.0
대표매매감정점수,0.038,0.034,0.05,0.049,0.0
호황,0.018,0.019,0.032,0.02,0.0
불황,0.018,0.022,0.021,0.007,0.0
