,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.058,0.033,0.036,0.017,0.0
의무보유확약비율,0.093,0.075,0.063,0.092,0.0
(확정)공모가격,0.047,0.043,0.053,0.065,0.0
청약경쟁률,0.129,0.108,0.063,0.227,0.0
공모후 발행주식수,0.02,0.023,0.034,0.025,-0.013
최대주주 소유주 비율,0.021,0.02,0.03,0.026,0.0
최대주주 보호예수 기간,0.006,0.017,0.007,0.001,0.0
보호예수 비율,0.045,0.031,0.057,0.02,0.0
총부채,0.019,0.019,0.024,0.022,0.013
자본금,0.017,0.018,0.023,0.02,0.007
영업이익,0.03,0.031,0.021,0.033,0.061
부채비율,0.021,0.018,0.023,0.02,0.0
유동비율,0.019,0.018,0.03,0.013,0.0
당기순이익률,0.023,0.018,0.021,0.016,0.0
ROE,0.018,0.019,0.022,0.013,0.0
EPS,0.022,0.026,0.023,0.021,0.0
EV/영업이익,0.018,0.022,0.021,0.019,0.0
부채비율 변화율,0.019,0.024,0.029,0.051,0.0
유동비율 변화율,0.019,0.021,0.032,0.03,0.0
영업이익률 변화율,0.024,0.03,0.033,0.008,0.0
당기순이익률 변화율,0.018,0.024,0.026,0.042,0.0
매출액 변화율,0.016,0.016,0.022,0.007,-0.034
ROE 변화율,0.018,0.021,0.036,0.019,0.0
EPS 변화율,0.021,0.028,0.027,0.017,0.0
EV/영업이익 변화율,0.015,0.018,0.019,0.002,0.0
DLR,0.012,0.019,0.016,0.01,0.0
PPI (%),0.048,0.033,0.014,0.025,0.0
기업경기실사지수(BSI),0.012,0.02,0.008,0.001,0.0
소비심리지수(CSI),0.017,0.026,0.022,0.025,0.0
외환보유액,0.027,0.028,0.026,0.026,-0.001
원달러 환율,0.02,0.022,0.017,0.011,0.0
통화량 (M2),0.023,0.023,0.008,0.006,0.006
기준금리,0.008,0.022,0.005,0.003,0.0
국고채 금리 스프레드,0.016,0.018,0.013,0.007,0.0
무역수지,0.017,0.021,0.026,0.008,0.0
KOSPI_1001,0.024,0.028,0.036,0.014,0.0
산업코스피,0.021,0.022,0.032,0.038,0.0
