기업명,year_key,month_key,(희망)공모가격 하한가,(희망)공모가격 상한가,단순 기관경쟁률,의무보유확약비율,(확정)공모가격,청약경쟁률,수요예측 시작일,수요예측 종료일,상장일,공모후 발행주식수,유동자산,비유동자산,유동부채,비유동부채,자본금,이익잉여금,기타자본항목,영업이익,당기순이익,종가대비등락율,매출액,부채비율,유동비율,영업이익률,당기순이익률,ROE,EPS,EV/영업이익,최대주주 소유주 비율,최대주주 보호예수 기간,보호예수 비율,부채비율 변화율,유동비율 변화율,영업이익률 변화율,당기순이익률 변화율,매출액 변화율,ROE 변화율,EPS 변화율,EV/영업이익 변화율
DSC인베스트먼트,2016,Dec-16,2500,2800,11.2,0,"1,700",11,2016-12-05,2016-12-06,2016-12-19,17500000,1833938590,9424633533,1807552839,280075244,6500000000,2403479033,267465007,1696693373,1311509021,109.4,3480121402,0.227635026,1.014597499,0.487538559,0.376857261,0.143006981,74.94337263,5.405186456,34.46,2,68.23,-0.11026109,-0.048729589,0.116146435,0.084210332,-960047078,-0.013265927,0.691848514,0.362899151
GRT(그레이트리치과기),2016,Oct-16,4000,6000,140.75,4.32,"5,000",7,2016-10-10,2016-10-11,2016-10-25,67500000,793157289,723506841,360476429,189137469,286411054,553308724,42799075,279633009,200645240,30,941632061,0.622778648,2.20030278,0.296966321,0.213082422,0.227355188,2.972522074,3.458283539,38.42,6,75,-0.867691625,1.024136945,-0.018562773,-0.020220626,94477100,-0.27242359,0.044465274,1.978823665
ING생명보험,2017,May-17,31500,40000,3.97,0.13,"33,000",0,2017-04-06,2017-04-21,2017-05-11,82000000,24660260,6008470,20091232,6430082,82000,1766107,1800991,321884,240741,-4.2,4265748,7.267909494,1.227414028,0.07545781,0.056435823,0.065972742,0.002935866,12.88481565,59.15,1,59.15,0.546608238,-0.02122763,-0.011742535,-0.008718498,-412284,-0.015016709,-0.000781134,2.439690797
JTC,2018,Apr-18,6200,7600,478,24.17,"8,500",465,2018-03-20,2018-03-21,2018-04-06,35114625,1.54135E+11,78548060055,59905678491,38714374965,6102640791,1.18545E+11,4066918027,24908650677,19130774616,91.8,4.16563E+11,0.766191313,2.572968358,0.059795646,0.045925291,0.148629339,544.80931,5.382203299,58.96,5,65.74,-0.350890998,0.306599335,0.009478607,0.017946246,-1.16665E+11,0.019646129,119.9374311,0.864042561
JW생명과학,2016,Oct-16,27000,32500,225,7.41,"30,000",220,2016-10-10,2016-10-11,2016-10-27,7917277,36186829815,1.45344E+11,75706826871,20993524053,39586385000,16909169240,0,11853577522,8398705961,43.2,67092448816,1.711645318,0.47798635,0.176675285,0.125181091,0.148661361,1060.807391,7.156538517,50,6,56.06,-0.069169813,0.006183126,0.028553473,0.023043732,-58857671792,-0.08739289,-564.0205269,2.716569848
LG에너지솔루션,2022,Jan-22,257000,300000,2023,66.59,"300,000",69,2022-01-11,2022-01-12,2022-01-27,234000000,9860210,13752096,8977353,5412775,100000,303807,1586903,692737,858057,68.3,13412546,7.228641038,1.098342685,0.051648434,0.063974207,0.431030637,0.00366691,13.31266844,81.84,6,91.29,-29.83340959,-0.220485392,0.376894076,0.373180213,11951478,1.783893602,0.005597556,29.2329325
SKC코오롱PI,2014,Dec-14,12500,15000,23.01,0,"8,000",46,2014-11-19,2014-11-20,2014-12-08,29366322,75787122656,1.79442E+11,36762916710,19159566806,18368700000,60479446202,-43368702000,20028343746,11433421958,-5.3,65437069512,1.5761939,2.061510061,0.306070304,0.17472393,0.322254821,389.3378939,9.95121601,27.03,6,58.59,0.503943677,-0.513812543,0.010951465,-0.017412001,-68267971018,-0.209700094,-485.4581561,4.575501931
가온칩스,2022,May-22,11000,13000,1847.12,14.6,"14,000",2183,2022-05-02,2022-05-03,2022-05-20,11488320,29916404375,7076710460,13808071614,1323047300,4714160000,16368724338,23350724,6202436087,6182765868,93.6,32235607297,0.716902795,2.166588153,0.192409469,0.191799268,0.292935516,538.1784167,3.524743442,7.3,6,71.35,-0.6561797,0.01396254,0.076983482,0.083499555,15137301343,0.119464775,376.9936979,-1.985351852
강스템바이오텍,2015,Dec-15,8000,10000,11.35,0,"6,000",41,2015-12-07,2015-12-08,2015-12-21,13817150,9725685992,5258574223,2463290508,1215054054,5878575000,-14190382611,524451764,-3185874764,-3838642428,56,1340395841,-0.472348334,3.948249693,-2.37681636,-2.863812547,0.492932711,-277.8172364,-3.548763367,25.3,1,37.45,0.902325384,2.79735979,19.01619121,14.97357103,1132204350,-0.063521014,-9.050415317,-3.978219653
경보제약,2015,Jun-15,13000,15000,524.56,34.44,"15,000",264,2015-06-10,2015-06-11,2015-06-29,23906860,96928613178,73815393122,88702899776,15081480014,10758085000,49452192871,962713886,6707517932,4993011747,128.3,43348799729,1.696571915,1.092733309,0.154733648,0.115182238,0.08162118,208.8526786,9.982772642,60,6,68,0.102399068,-0.045807702,-0.008232307,0.064317057,-1.26432E+11,-0.056458592,-152.3806128,7.513188081
고바이오랩,2020,Nov-20,18000,23000,64,0.85,"15,000",566,2020-11-03,2020-11-04,2020-11-18,15415766,26577142033,4193523801,2737712873,97030419,6677883000,-1.03591E+11,-594948628,-5883016882,-46992569579,108.7,626634194,-0.029071777,9.707790139,-9.388279379,-74.99202889,0.481933411,-3048.344765,-4.748570861,36.37,2,72.41,1.595615054,9.317827821,3.363941738,1.443716632,50115124,-0.322992964,-189.7994986,-12.04245069
골든센츄리(금세기차륜),2016,Oct-16,3200,4200,182,0.55,"3,500",346,2016-10-04,2016-10-05,2016-10-19,29800000,54475387658,22101682136,15804685645,0,4820281110,50009501102,0,5941529650,4504016008,9,21319158034,0.288250017,3.446787167,0.278694386,0.21126613,0.082145429,151.1414768,10.22840712,42.49,2,73.47,0.125793396,-1.747256151,0.019440269,0.026270692,-56698143582,-0.204642949,-333.1821776,7.446467273
공구우먼,2022,Mar-22,26000,31000,56.9,1.02,"20,000",15,2022-03-07,2022-03-08,2022-03-23,0,16344383721,11192426655,3503857874,0,251850000,23645247029,115840473,6757494882,5709351000,0,31593596970,0.145915421,4.664682276,0.213888114,0.180712282,0.237761457,0,3.55648845,0.91,6,64.46,0.016322163,0.261135955,0.049304012,0.047744191,-1089813529,0.0311412,0,-0.394777064
교촌에프앤비,2020,Nov-20,10600,12300,999,3.9,"12,300",1318,2020-10-28,2020-10-29,2020-11-12,24982540,47170322827,1.22945E+11,54096905670,29652578861,10549150000,74205611863,-5100972419,15321841368,5393043158,152,2.15551E+11,1.05141871,0.871959722,0.071082241,0.025019812,0.067706046,215.8724917,5.636758678,74.13,6,81.33,-0.007080379,0.020292341,-0.032451278,-0.052640695,-1.6454E+11,-0.333718182,-965.6758871,3.597606042
국일신동,2014,Dec-14,1400,1700,25,0,"1,700",91,2014-12-15,2014-12-16,2014-12-29,11090000,19343211278,28988295780,9241649167,6235997795,4000000000,32628580096,-3774720000,1776558374,1302523594,61.5,26677140531,0.471105889,2.093047564,0.066594783,0.048825458,0.039645983,117.450279,18.49298091,63.48,6,74.69,-0.027881974,0.287976002,-0.012055484,-0.008379406,-8809955283,-0.024707709,-65.60062038,7.190877333
그리드위즈,2024,Jun-24,34000,40000,124.6,0.64,"40,000",569,2024-05-23,2024-05-29,2024-06-14,7947161,55235585173,62981546278,31343402643,10840655263,1303550000,1791216480,1508059427,-2299440714,-1376739403,23.8,26193304940,9.164817171,1.762271499,-0.087787346,-0.052560737,-0.299107425,-173.2366317,-33.06589863,28.8,36,69.67,0.836669857,0.050518975,-0.099856003,-0.084078965,-1.05677E+11,-1.061370043,-696.2319217,-81.37429511
그린리소스,2023,Nov-23,11000,14000,753,4.6,"17,000",590,2023-11-03,2023-11-09,2023-11-24,8183944,8685,36231,16297,5968,3247,15055,-2261,2219,1666,207.6,8905,1.388005735,0.532920169,0.249185851,0.187085907,0.103858862,0.000203569,10.20775124,50.64,3,68.56,0.430690785,-0.239782727,0.100451547,0.04895555,-16180,-0.137419601,-0.000219821,4.587006131
