기업명,주관사,상장일,공모가,(수정)공모가,(상장일)시가,(공모가_시가)등락률,(상장일)종가,(공모가_종가)등락률,산업군,섹터
아이지넷,한국투자증권㈜,2025-02-04,"7,000","7,000","6,110",-12.7,"4,355",-37.8,소프트웨어,Growth
피아이이,삼성증권㈜,2025-02-04,"5,000","5,000","5,000",0.0,"4,365",-12.7,기계제조,Sensitive
삼양엔씨켐,KB증권㈜,2025-02-03,"18,000","18,000","23,650",31.4,"17,960",-0.2,화학,Sensitive
아스테라시스,DB금융투자주식회사,2025-01-24,"4,600","4,600","7,770",68.9,"6,640",44.3,의료/의약,Growth
데이원컴퍼니,"미래에셋증권 주식회사,삼성증권㈜",2025-01-24,"13,000","13,000","10,760",-17.2,"7,800",-40.0,서비스,Protective
와이즈넛,삼성증권㈜,2025-01-24,"17,000","17,000","14,020",-17.5,"10,800",-36.5,소프트웨어,Growth
미트박스글로벌,미래에셋증권 주식회사,2025-01-23,"19,000","19,000","18,600",-2.1,"14,200",-25.3,IT,Growth
파인메딕스,한국투자증권㈜,2024-12-26,"10,000","10,000","25,300",153.0,"16,000",60.0,의료/의약,Growth
쓰리에이로직스,"신한투자증권 주식회사,미래에셋증권 주식회사",2024-12-24,"11,000","11,000","14,060",27.8,"9,130",-17.0,전자/회로,Growth
듀켐바이오,엔에이치투자증권주식회사,2024-12-20,"8,000","8,000","12,100",51.3,"9,080",13.5,의료/의약,Growth
온코닉테라퓨틱스,엔에이치투자증권주식회사,2024-12-19,"13,000","13,000","18,000",38.5,"17,300",33.1,의료/의약,Growth
온코크로스,미래에셋증권 주식회사,2024-12-18,"7,300","7,300","12,650",73.3,"8,960",22.7,의료/의약,Growth
벡트,신한투자증권 주식회사,2024-12-16,"3,900","3,900","9,960",155.4,"7,730",98.2,기계제조,Sensitive
엠앤씨솔루션,KB증권㈜,2024-12-16,"65,000","65,000","58,000",-10.8,"51,800",-20.3,기계제조,Sensitive
위츠,신한투자증권 주식회사,2024-11-20,"6,400","6,400","6,780",5.9,"14,690",129.5,기계제조,Sensitive
사이냅소프트,엔에이치투자증권주식회사,2024-11-19,"24,500","24,500","21,000",-14.3,"18,490",-24.5,소프트웨어,Growth
엠오티,한국투자증권㈜,2024-11-18,"10,000","10,000","8,450",-15.5,"7,800",-22.0,기계제조,Sensitive
에스켐,엔에이치투자증권주식회사,2024-11-18,"10,000","10,000","10,730",7.3,"7,090",-29.1,화학,Sensitive
쓰리빌리언,한국투자증권㈜,2024-11-14,"4,500","4,500","5,410",20.2,"4,100",-8.9,의료/의약,Growth
닷밀,미래에셋증권 주식회사,2024-11-13,"13,000","13,000","9,520",-26.8,"8,610",-33.8,엔터,Growth
노머스,대신증권㈜,2024-11-12,"30,200","30,200","21,500",-28.8,"19,400",-35.8,엔터,Growth
에어레인,신영증권㈜,2024-11-08,"23,000","23,000","16,450",-28.5,"17,590",-23.5,부품제조,Sensitive
토모큐브,대신증권㈜,2024-11-07,"16,000","16,000","12,250",-23.4,"10,070",-37.1,부품제조,Sensitive
더본코리아,"한국투자증권㈜,엔에이치투자증권주식회사",2024-11-06,"34,000","34,000","46,350",36.3,"51,400",51.2,식품,Protective
에이치이엠파마,신한투자증권 주식회사,2024-11-05,"23,000","23,000","20,500",-10.9,"16,400",-28.7,바이오,Growth
에이럭스,한국투자증권㈜,2024-11-01,"16,000","16,000","12,460",-22.1,"9,880",-38.3,IT,Growth
탑런토탈솔루션,KB증권㈜,2024-11-01,"18,000","18,000","15,120",-16.0,"13,740",-23.7,부품제조,Sensitive
성우,한국투자증권㈜,2024-10-31,"32,000","32,000","32,000",0.0,"28,000",-12.5,기계제조,Sensitive
클로봇,미래에셋증권 주식회사,2024-10-28,"13,000","13,000","12,500",-3.8,"10,070",-22.5,소프트웨어,Growth
웨이비스,대신증권㈜,2024-10-25,"15,000","15,000","18,010",20.1,"10,890",-27.4,부품제조,Sensitive
