단순 기관경쟁률,의무보유확약비율,(확정)공모가격,청약경쟁률,공모후 발행주식수,유동자산,비유동자산,유동부채,비유동부채,자본금,이익잉여금,기타자본항목,영업이익,당기순이익,매출액,최대주주 소유주 비율,최대주주 보호예수 기간,보호예수 비율,DLR,PPI (%),기업경기실사지수(BSI),기준금리,대표매매감정점수,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,Growth,Infra,Protective,Sensitive,등락율_이진
11.2,0,1700,11,17500000,1833938590,9424633533,1807552839,280075244,6500000000,2403479033,267465007,1696693373,1311509021,3480121402,34.46,2,68.23,92.86,-266.67,0,0,-0.178494,0,0.9832456,1.8632835,2.2522635,1.0410975,0,0,0.25217688,0.47041076,1.2202139,1.6776266,1.2033155,1.7990681,3.2735884,0.61523235,0,0,0,1,1
140.75,4.32,5000,7,67500000,793157289,723506841,360476429,189137469,286411054,553308724,42799075,279633009,200645240,941632061,38.42,6,75,93.33,50,0,0,-0.348357,0,1.71877,1.1342163,1.8843863,1.5484158,0,0,0,0.63000804,0.8226411,1.769711,1.9313161,1.5904448,3.645162,0.32139447,0,0,0,1,1
3.97,0.13,33000,0,82000000,24660260,6008470,20091232,6430082,82000,1766107,1800991,321884,240741,4265748,59.15,1,59.15,57.14,17.65,0,0,-0.705678,0,1.8501037,1.6819199,1.83555,0.7693935,0,0,0.18616706,1.1012589,0.86363715,1.003383,1.1481363,1.0942674,3.2960794,0.5124169,0,1,0,0,0
478,24.17,8500,465,35114625,1.54E+11,78548060055,59905678491,38714374965,6102640791,1.19E+11,4066918027,24908650677,19130774616,4.17E+11,58.96,5,65.74,94.12,164.29,-3.658536585,0,0.042749,0,2.3202026,2.8472447,1.6000974,0,0,0,0.1690336,2.6023533,1.9524027,0,1.245939,0.7480588,2.984285,0.8635444,0,0,1,0,1
225,7.41,30000,220,7917277,36186829815,1.45E+11,75706826871,20993524053,39586385000,16909169240,0,11853577522,8398705961,67092448816,50,6,56.06,94.12,54.55,0,0,-0.175077,0,1.7355367,1.125196,1.8584085,1.5711244,0,0,0,0.62238854,0.7658039,1.7501078,1.8576343,1.5633967,3.6216133,0.3138759,1,0,0,0,1
2023,66.59,300000,69,234000000,9860210,13752096,8977353,5412775,100000,303807,1586903,692737,858057,13412546,81.84,6,91.29,93.75,100,-1.176470588,25,-0.333035,1.7384366,1.522977,3.5946472,0,0.38760313,0,0,0,3.1980884,3.003339,0,0,0.75848675,0,0,1,0,0,0,1
23.01,0,8000,46,29366322,75787122656,1.79E+11,36762916710,19159566806,18368700000,60479446202,-43368702000,20028343746,11433421958,65437069512,27.03,6,58.59,94.74,-180,1.408450704,0,-0.714099,0,1.7781049,3.0251899,4.6671724,0,0,0,2.0309365,0.6836102,1.693359,2.2221918,0.8166632,1.13468,3.8569126,1.1243187,0,0,0,1,0
1847.12,14.6,14000,2183,11488320,29916404375,7076710460,13808071614,1323047300,4714160000,16368724338,23350724,6202436087,6182765868,32235607297,7.3,6,71.35,94.44,150,3.614457831,16.66666667,-0.539253,2.6083958,1.2540776,3.0250654,0.28567025,0,0,0.20795006,0,2.5141075,1.8021395,0,0,0,0,0,1,0,0,0,1
11.35,0,6000,41,13817150,9725685992,5258574223,2463290508,1215054054,5878575000,-14190382611,524451764,-3185874764,-3838642428,1340395841,25.3,1,37.45,92.86,-100,-2.777777778,0,-0.133332,0,1.3448925,1.8073947,3.3270311,0.5538131,0,0,0.5891022,0.3215838,1.7865454,2.489358,2.6240487,1.5064495,3.4379096,0.3595716,1,0,0,0,1
524.56,34.44,15000,264,23906860,96928613178,73815393122,88702899776,15081480014,10758085000,49452192871,962713886,6707517932,4993011747,43348799729,60,6,68,94.74,100,-2.53164557,-14.28571429,-0.35719,0,1.7494588,2.5834844,4.100357,0,0,0,1.2417613,0.9100506,2.242112,2.136888,2.7304182,1.0941353,3.8991797,0.85845256,1,0,0,0,1
