date,KOSPI_1001,KOSPI_1005,KOSPI_1008,KOSPI_1011,KOSPI_1012,KOSPI_1013,KOSPI_1014,KOSPI_1015,KOSPI_1017,KOSPI_1018,KOSPI_1020,KOSPI_1021,KOSPI_1024,KOSPI_1026,KOSPI_1035,KOSPI_1155,KOSPI_1156,year_key,month_key,국고채 금리 (3년),국고채 금리 (10년),기업경기실사지수(BSI),기준금리,무역수지,산업생산지수(IPI),생산자물가 상승률 (PPI),소비심리지수(CSI),소비자물가 상승률 (CPI),수출입 물량지수,외환보유액,원달러 환율,통화량 (M2),성장_긍정,성장_부정,민감_긍정,민감_부정,방어_긍정,방어_부정,금융_긍정,금융_부정
2014-01-02,1967.19,3837.31,4071.75,5093.8,932.94,10259.32,1808.19,2553.37,1174.31,127.99,331.56,448.55,1509.39,1039.84,1687.64,1473.91,753.46,2014,Jan-14,2.892,3.647,74,2.5,5993.1,92.1,101.57,110.2,93.73,5993.1,348393811,1064.75,1937700.8,0.247377887,0.319716639,0.271343948,0.309721979,0.274987026,0.281286676,0.302054991,0.317415621
2014-01-03,1946.14,3774.62,4034.17,5078.84,927.42,10194.44,1823.65,2532.4,1167.01,125.75,328.52,438.79,1499.88,1022.64,1666.21,1458.88,733.54,2014,Jan-14,2.892,3.647,74,2.5,5993.1,92.1,101.57,110.2,93.73,5993.1,348393811,1064.75,1937700.8,0.193908076,0.278820797,0.228805786,0.261668891,0.211589582,0.250258272,0.237048566,0.269726387
2014-01-06,1953.28,3791.71,4037.53,5032.36,932.93,10279.95,1839.27,2552.89,1194.94,122.14,331.33,438.81,1490.04,1023.27,1674.05,1466.49,734.04,2014,Jan-14,2.892,3.647,74,2.5,5993.1,92.1,101.57,110.2,93.73,5993.1,348393811,1064.75,1937700.8,0.196626349,0.249551372,0.236082476,0.253905242,0.232016798,0.252975303,0.285070904,0.282602867
2014-01-07,1959.44,3779.62,4042.91,5015.49,935.4,10289.69,1837.06,2584.2,1204.47,122.5,330.7,438.22,1498.63,1022.5,1676.1,1473.72,730.27,2014,Jan-14,2.892,3.647,74,2.5,5993.1,92.1,101.57,110.2,93.73,5993.1,348393811,1064.75,1937700.8,0.204421792,0.306470311,0.258940693,0.279844949,0.225154076,0.282552806,0.236427577,0.287800019
2014-01-08,1958.96,3789.14,4029.45,4995.2,928.99,10242.71,1817.5,2584.89,1202.12,124.19,329.86,439.35,1496.68,1025.4,1671.88,1475.91,732.92,2014,Jan-14,2.892,3.647,74,2.5,5993.1,89,101.57,110.2,93.73,5993.1,348393811,1064.75,1937700.8,0.20988904,0.319565819,0.240480265,0.292650032,0.217387222,0.278065783,0.272150432,0.32199558
2014-01-09,1946.11,3766.66,3999.16,4890.22,937.59,10146.81,1849.5,2542.83,1225.04,126.61,331.99,440.97,1524.11,1014.84,1654.47,1457.86,735.63,2014,Jan-14,2.892,3.647,74,2.5,5993.1,92.1,101.57,110.2,93.73,5993.1,348393811,1064.75,1937700.8,0.264175345,0.256082749,0.292841396,0.242733355,0.293644226,0.253274702,0.327890016,0.258791836
2014-01-10,1938.54,3757.2,4009.54,4912.32,940.58,10127.22,1863.46,2501.83,1230.91,127.56,326.6,434.08,1512.34,1020.46,1645.7,1465.47,721.89,2014,Jan-14,2.892,3.647,74,2.5,5993.1,92.1,101.57,110.2,93.73,5993.1,348393811,1064.75,1937700.8,0.191920774,0.216443992,0.248266169,0.246322039,0.245121642,0.237004204,0.274238504,0.26789902
2014-01-13,1948.92,3752.65,4021.51,4957.74,938.05,10244.48,1876.11,2534.05,1196.89,127.91,332.25,436.6,1516.5,1015.56,1658.17,1456.07,726.67,2014,Jan-14,2.892,3.647,74,2.5,5993.1,92.1,101.57,110.2,93.73,5993.1,348393811,1064.75,1937700.8,0.25911527,0.309252155,0.284334437,0.291710789,0.289872953,0.290895932,0.346547546,0.32301415
2014-01-14,1946.07,3735.99,3985.71,4931.19,931.19,10365.1,1874.97,2541.91,1196.57,125.67,332.52,432.04,1514.58,1010.25,1659.24,1462.99,717.82,2014,Jan-14,2.892,3.647,74,2.5,5993.1,92.1,101.57,110.2,93.73,5993.1,348393811,1064.75,1937700.8,0.28933243,0.278951955,0.271793012,0.223270001,0.285893316,0.241893774,0.329546985,0.274838344
2014-01-15,1953.28,3771.02,4017.64,4960.73,944.35,10272.32,1898.37,2551.7,1190.87,125.84,332.96,435.3,1522.33,1025.05,1662.3,1468.54,724.71,2014,Jan-14,2.892,3.647,74,2.5,5993.1,89,101.57,110.2,93.73,5993.1,348393811,1064.75,1937700.8,0.250623281,0.292965271,0.275341703,0.25353948,0.266491599,0.257949801,0.33937608,0.306788189
