latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,date
0,1.2221723,0,0.26022607,2.845045,1.9714327,3.1043081,0,0,0,1.8744891,0,2.1543722,0,0,2014-02-17
0,1.2263675,0,0.26088455,2.8537025,1.9786317,3.1087992,0,0,0,1.8831589,0,2.1617582,0,0,2014-02-18
0,1.2275136,0,0.253593,2.8651178,1.9876484,3.1166677,0,0,0,1.882502,0,2.1691928,0,0,2014-02-19
0,1.2284187,0,0.24631767,2.878611,1.9947395,3.1256483,0,0,0,1.8823421,0,2.1779091,0,0,2014-02-20
0,1.2324964,0,0.23707427,2.8971422,1.998184,3.1281872,0,0,0,1.8770158,0,2.1872435,0,0,2014-02-21
0,1.2363207,0,0.21597022,2.9327056,1.9959188,3.131389,0,0,0,1.8481461,0,2.2065032,0,0,2014-02-24
0,1.2403252,0,0.201639,2.9626021,1.9942685,3.1372576,0,0,0,1.8332448,0,2.2241955,0,0,2014-02-25
0,1.2395219,0,0.19420944,2.9744956,1.997678,3.1419728,0,0,0,1.8354567,0,2.2258792,0,0,2014-02-26
0,1.2400322,0,0.18802767,2.989102,1.9966029,3.1442177,0,0,0,1.836989,0,2.2305288,0,0,2014-02-27
0,1.2369274,0,0.18391715,2.9937146,1.999606,3.1458836,0,0,0,1.8484952,0,2.227147,0,0,2014-02-28
0,1.2338673,0,0.17313144,3.007128,2.0002456,3.1497586,0,0,0,1.8478498,0,2.2299778,0,0,2014-03-03
0,1.2293859,0,0.16241965,3.0147793,2.0021045,3.150786,0,0,0,1.8489809,0,2.2238944,0,0,2014-03-04
0,1.2246853,0,0.14853792,3.0250692,2.0014677,3.1496348,0,0,0,1.8427609,0,2.2180233,0,0,2014-03-05
0,1.2176474,0,0.14351654,3.0243568,1.9982076,3.1476936,0,0,0,1.8463335,0,2.2069669,0,0,2014-03-06
0,1.2081456,0,0.13724202,3.0211074,1.9952681,3.1480978,0,0,0,1.847995,0,2.1947978,0,0,2014-03-07
0,1.1961118,0,0.1306463,3.011822,1.99312,3.1485019,0,0,0,1.8480095,0,2.1776462,0,0,2014-03-10
0,1.1895539,0,0.11851056,3.0193043,1.9843222,3.1451333,0,0,0,1.8348066,0,2.1713707,0,0,2014-03-11
0,1.1821086,0,0.107079625,3.0213873,1.9781764,3.1393921,0,0,0,1.825358,0,2.160191,0,0,2014-03-12
0,1.183444,0,0.099588975,3.0326576,1.966928,3.1268609,0,0,0,1.8122011,0,2.158266,0,0,2014-03-13
0,1.1832436,0,0.091905884,3.0443199,1.9540412,3.119937,0,0,0,1.7919503,0,2.1612911,0,0,2014-03-14
0,1.1876495,0,0.083076045,3.0575976,1.944591,3.1035333,0,0,0,1.7752199,0,2.1589253,0,0,2014-03-17
