latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,date
3.584345,0.0,0.46155554,0.026786637,12.620573,0.0,2014-02-17
3.588724,0.0,0.46211112,0.014847644,12.626417,0.0,2014-02-18
3.5938897,0.0,0.464885,0.005186975,12.634292,0.0,2014-02-19
3.5986652,0.0,0.46835527,0.0,12.640857,0.0,2014-02-20
3.6033769,0.0,0.4723731,0.0,12.644335,0.0,2014-02-21
3.6075494,0.0,0.4751768,0.0,12.646175,0.0,2014-02-24
3.6120353,0.0,0.4758333,0.0,12.652824,0.0,2014-02-25
3.6140516,0.0,0.47714567,0.0,12.659916,0.0,2014-02-26
3.614296,0.0,0.47838813,0.0,12.670616,0.0,2014-02-27
3.612344,0.0,0.47712097,0.0,12.685351,0.0,2014-02-28
3.6084464,0.0,0.47582233,0.0,12.701055,0.0,2014-03-03
3.6041775,0.0,0.47711924,0.0,12.716903,0.0,2014-03-04
3.6005778,0.0,0.48243856,0.0055721328,12.734407,0.0,2014-03-05
3.5950885,0.0,0.48619673,0.018311724,12.75145,0.0,2014-03-06
3.5877,0.0,0.4894368,0.033128094,12.768485,0.0,2014-03-07
3.577894,0.0,0.49126914,0.048736006,12.78426,0.0,2014-03-10
3.565862,0.0,0.49152032,0.06475262,12.797886,0.0,2014-03-11
3.5524843,0.0,0.49229142,0.08096175,12.811124,0.0,2014-03-12
3.5389345,0.0,0.4949333,0.09549876,12.8207855,0.0,2014-03-13
3.5239856,0.0,0.49749854,0.10903284,12.824729,0.0,2014-03-14
3.5088465,0.0,0.5015912,0.12046701,12.82172,0.0,2014-03-17
3.495958,0.0,0.50504357,0.1293849,12.815086,0.0,2014-03-18
3.486693,0.0,0.509395,0.1388655,12.816146,0.0,2014-03-19
3.4778936,0.0,0.51357025,0.14738093,12.812768,0.0,2014-03-20
3.4699361,0.0,0.51784104,0.15431973,12.806504,0.0,2014-03-21
3.4617937,0.0,0.5188007,0.15918544,12.795078,0.0,2014-03-24
3.4527035,0.0,0.5163102,0.16240366,12.778323,0.0,2014-03-25
3.4447258,0.0,0.51388294,0.16699952,12.766572,0.0,2014-03-26
3.4381196,0.0,0.5127969,0.17276666,12.757473,0.0,2014-03-27
3.4314191,0.0,0.5081147,0.17937002,12.747916,0.0,2014-03-28
3.421592,0.0,0.49827048,0.18618298,12.734261,0.0,2014-03-31
3.408999,0.0,0.48516724,0.19298318,12.716935,0.0,2014-04-01
3.39779,0.0,0.46138573,0.19868602,12.705938,0.0,2014-04-02
3.3863323,0.0,0.43016252,0.2030411,12.700329,0.0,2014-04-03
3.3746603,0.0,0.39381036,0.20595744,12.696267,0.0,2014-04-04
3.3629594,0.0,0.35541168,0.20787561,12.690739,0.0,2014-04-07
3.35328,0.0,0.3168706,0.20961878,12.686535,0.0,2014-04-08
3.3463602,0.0,0.27981117,0.21344422,12.686853,0.0,2014-04-09
3.3416443,0.0,0.24560732,0.222145,12.693862,0.0,2014-04-10
3.3365507,0.0,0.21182308,0.23579402,12.704717,0.0,2014-04-11
3.3332322,0.0,0.18154816,0.25314516,12.723359,0.0,2014-04-14
3.3334284,0.0,0.1592102,0.2736144,12.755116,0.0,2014-04-15
3.333938,0.0,0.1408762,0.296734,12.790865,0.0,2014-04-16
3.3324559,0.0,0.12267288,0.31952676,12.823674,0.0,2014-04-17
3.3310626,0.0,0.10828825,0.34245726,12.858297,0.0,2014-04-18
3.3302839,0.0,0.095992,0.3651115,12.896144,0.0,2014-04-21
3.3314517,0.0,0.08912903,0.38689482,12.939458,0.0,2014-04-22
3.3319016,0.0,0.085478395,0.40765417,12.981885,0.0,2014-04-23
3.3338542,0.0,0.08684133,0.4276707,13.026318,0.0,2014-04-24
3.3378975,0.0,0.0928224,0.44493872,13.069106,0.0,2014-04-25
